SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
COC1=C(O)C=CC(Cl)=C1,241,2,1,1,0.1,2.0542,39.6688,158.013,9.29491,115,12,46,51,4.33333,2.36111
ClC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,277,0,0,0,0,4.9536,51.492,247.852,20.6543,140,17,54,63,5.80556,2.44444
OC1=CC(Cl)=C(Cl)C=C1,253,1,1,0,0,2.699,38.1268,161.964,12.4588,84,10,42,46,4.08333,2.02778
FC1=CC(=CC=C1)C#N,182.5,1,0,0,0,1.69738,31.115,121.033,9.31021,88,9,40,43,3.47222,2.16667
CC(Cl)C(C)(C)Cl,129,0,0,1,0.166667,2.6311,35.247,140.016,8.23623,42,6,30,30,5.17361,1.5
CCCCCl,78.6,0,0,2,0.5,2.0253,25.628,92.0393,6.57423,20,2,14,12,2.75,1.5
FC(F)OC(F)F,6.35,1,0,2,0.333333,1.4482,13.093,118.004,13.1116,48,4,26,24,4.47222,1.66667
ClP(Cl)C1=CC=CC=C1,225,0,0,1,0.111111,3.1014,44.702,177.951,12.7108,88,9,40,43,3.47222,2.11111
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,121,1,1,2,0.166667,1.9039,23.5848,213.986,15.2847,216,24,66,78,9.29861,2.625
COS(Cl)(=O)=O,134,3,0,1,0.2,0.1164,21.7818,129.949,14.4388,28,3,24,22,4.3125,1.375
FC(F)=C(Cl)C(F)(F)F,6.8,0,0,0,0,2.8956,21.15,165.961,18.4401,86,10,40,42,6.28472,1.94444
FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,70.3,1,0,3,0.142857,4.7537,34.845,370.979,16.8627,846,45,120,144,15.4861,4.1875
CC(O)C(C)Cl,139,1,1,1,0.2,0.9945,26.9958,108.034,7.20228,29,4,22,21,4.22222,1.44444
CC1=C(CCl)C=CC=C1,198,0,0,1,0.111111,2.73382,40.736,140.039,7.77996,86,10,40,44,3.47222,2.19444
CC(C)CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,132,0,0,4,0.181818,5.9764,49.947,376.05,11.7516,936,50,124,152,15.7361,4.52083
ClN1C(=O)CCC1=O,216.5,2,0,0,0,0.2892,26.94,132.993,11.0828,58,8,38,43,3.83333,1.80556
FC(F)(F)S(Cl)(=O)=O,30.5,2,0,0,0,1.0748,20.8278,167.926,20.9907,58,9,38,40,6.125,1.5625
OCC1=CC=C(Cl)C(Cl)=C1,149.5,1,1,1,0.1,2.4857,42.3848,175.98,10.9987,117,12,46,51,4.33333,2.36111
C[Si](C)(C)CCl,98.5,0,0,1,0.2,2.1026,34.066,122.032,7.17834,28,3,24,22,4.3125,1.375
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,238.5,2,1,5,0.227273,3.5705,42.3386,399.944,16.6643,988,54,128,160,16.4375,4.375
ClC(=O)OCCOC(Cl)=O,183,4,0,3,0.333333,1.7372,34.402,185.949,13.282,151,7,38,36,5.22222,2.41667
CCC(C)OC(Cl)=O,126,2,0,2,0.285714,2.1603,32.087,136.029,8.00171,71,6,30,29,4.72222,2
CC(C)C1=C(Cl)C=CC=C1,191.1,0,0,1,0.1,3.4634,45.541,154.055,7.33595,114,12,46,51,4.33333,2.30556
Cl[Si](Cl)(Cl)CCC1=CC=CC=C1,242,0,0,3,0.25,3.8844,58.266,237.954,11.3311,217,11,56,58,4.92361,2.625
ClC1=C(Cl)C2=C(C=C1)C(=O)OC2=O,329,3,0,0,0,2.304,46.208,215.938,14.3959,215,21,70,85,5.41667,2.80556
NC1=C(Cl)C=C(Cl)C=C1Br,273,1,1,0,0,3.3381,48.5744,238.89,17.0636,110,13,48,54,4.94444,2.22222
ClC(Cl)C1=CC=CC=C1,205,0,0,1,0.111111,3.1628,40.889,159.985,10.6656,88,9,40,43,3.47222,2.11111
FC(F)(F)C(Cl)(Cl)C(F)(F)Cl,72,0,0,1,0.1,3.5542,31.292,235.899,21.4453,136,18,56,64,8.1875,2.125
CC(Cl)C(C)=C,94,0,0,1,0.2,2.1898,30.129,104.039,6.93595,29,4,22,21,4.22222,1.44444
CC1=CC=C(C=C1)C(F)(F)F,129,0,0,0,0,3.01382,36.181,160.05,8.89167,152,13,54,59,5.28472,2.33333
CC(F)(F)CC(F)(F)F,40,0,0,1,0.125,2.594,21.293,148.031,10.5737,88,6,42,40,6.375,1.75
